h3,pop,kab
86650c8e7ffffff,4816.0,482
86650c8efffffff,9238.0,482
86650c907ffffff,1725.0,482
86650c90fffffff,2379.0,482
86650c91fffffff,51.0,482
86650c927ffffff,48.0,482
86650c92fffffff,1293.0,482
86650c937ffffff,1.0,482
86650c947ffffff,1749.0,482
86650c94fffffff,10511.0,482
86650c957ffffff,6995.0,482
86650c95fffffff,140252.0,494
86650c967ffffff,2491.0,482
86650c96fffffff,660.0,482
86650c977ffffff,3727.0,482
86650ca07ffffff,7353.0,510
86650ca0fffffff,5411.0,510
86650ca17ffffff,10217.0,483
86650ca1fffffff,15883.0,510
86650ca27ffffff,5051.0,510
86650ca2fffffff,2543.0,510
86650ca37ffffff,5579.0,510
86650ca47ffffff,8984.0,510
86650ca4fffffff,10910.0,510
86650ca57ffffff,18256.0,510
86650ca5fffffff,22898.0,510
86650ca67ffffff,5197.0,510
86650ca6fffffff,10586.0,510
86650ca77ffffff,9976.0,510
86650ca87ffffff,15007.0,483
86650ca8fffffff,17791.0,510
86650ca97ffffff,10063.0,483
86650ca9fffffff,13087.0,483
86650caa7ffffff,25694.0,483
86650caafffffff,12179.0,483
86650cab7ffffff,11437.0,483
86650cac7ffffff,8511.0,510
86650cacfffffff,8206.0,510
86650cad7ffffff,16948.0,510
86650cadfffffff,11247.0,510
86650cae7ffffff,31448.0,510
86650caefffffff,9173.0,510
86650caf7ffffff,11701.0,510
86650cb07ffffff,16960.0,482
86650cb0fffffff,8618.0,510
86650cb17ffffff,25516.0,482
86650cb1fffffff,9489.0,510
86650cb27ffffff,17069.0,482
86650cb2fffffff,11814.0,482
86650cb37ffffff,46882.0,482
86650cb47ffffff,1603.0,510
86650cb4fffffff,2450.0,510
86650cb57ffffff,4088.0,510
86650cb5fffffff,2375.0,510
86650cb67ffffff,2844.0,482
86650cb6fffffff,3113.0,482
86650cb77ffffff,3846.0,482
86650cb87ffffff,28956.0,483
86650cb8fffffff,22594.0,483
86650cb97ffffff,17037.0,483
86650cb9fffffff,20726.0,483
86650cba7ffffff,23126.0,482
86650cbafffffff,21870.0,510
86650cbb7ffffff,8288.0,483
86650d007ffffff,24852.0,487
86650d00fffffff,29107.0,487
86650d017ffffff,1854.0,487
86650d01fffffff,33541.0,487
86650d027ffffff,15622.0,487
86650d02fffffff,56782.0,487
86650d037ffffff,2937.0,487
86650d047ffffff,26240.0,487
86650d04fffffff,13776.0,487
86650d057ffffff,14649.0,487
86650d05fffffff,9977.0,487
86650d067ffffff,12469.0,487
86650d06fffffff,8101.0,487
86650d077ffffff,28995.0,487
86650d087ffffff,7529.0,485
86650d08fffffff,1793.0,485
86650d097ffffff,7022.0,485
86650d09fffffff,4289.0,485
86650d0a7ffffff,1755.0,485
86650d0afffffff,15119.0,485
86650d0b7ffffff,5061.0,485
86650d0c7ffffff,15.0,499
86650d0cfffffff,913.0,487
86650d0d7ffffff,111.0,499
86650d0dfffffff,3085.0,499
86650d0e7ffffff,10986.0,487
86650d0efffffff,7814.0,487
86650d0f7ffffff,170.0,485
86650d107ffffff,3569.0,510
86650d10fffffff,6926.0,510
86650d117ffffff,2269.0,485
86650d11fffffff,1187.0,485
86650d127ffffff,4001.0,510
86650d12fffffff,4428.0,510
86650d137ffffff,3376.0,510
86650d147ffffff,2880.0,487
86650d14fffffff,2308.0,487
86650d157ffffff,16653.0,487
86650d15fffffff,13475.0,487
86650d167ffffff,9306.0,487
86650d16fffffff,4793.0,487
86650d177ffffff,6750.0,510
86650d187ffffff,2956.0,485
86650d18fffffff,188.0,485
86650d197ffffff,6153.0,485
86650d19fffffff,1287.0,485
86650d1a7ffffff,1452.0,510
86650d1afffffff,1353.0,485
86650d1b7ffffff,1636.0,510
86650d207ffffff,1682.0,487
86650d20fffffff,3258.0,487
86650d217ffffff,1365.0,487
86650d21fffffff,146.0,487
86650d227ffffff,463.0,487
86650d22fffffff,5866.0,487
86650d237ffffff,1813.0,487
86650d247ffffff,1017.0,8
86650d24fffffff,287.0,8
86650d257ffffff,2837.0,487
86650d25fffffff,3577.0,8
86650d267ffffff,1988.0,8
86650d26fffffff,880.0,8
86650d277ffffff,2530.0,487
86650d287ffffff,48.0,499
86650d28fffffff,7.0,499
86650d297ffffff,3911.0,499
86650d2a7ffffff,198.0,499
86650d2b7ffffff,24.0,499
86650d2c7ffffff,11241.0,8
86650d2cfffffff,6976.0,8
86650d2d7ffffff,3.0,499
86650d2dfffffff,4524.0,8
86650d2e7ffffff,4976.0,487
86650d2efffffff,3898.0,487
86650d2f7ffffff,61.0,487
86650d307ffffff,6233.0,487
86650d30fffffff,4489.0,487
86650d317ffffff,3502.0,487
86650d31fffffff,1226.0,487
86650d327ffffff,1754.0,487
86650d32fffffff,2068.0,484
86650d337ffffff,8715.0,487
86650d347ffffff,444.0,484
86650d34fffffff,694.0,484
86650d357ffffff,5236.0,487
86650d35fffffff,2213.0,487
86650d367ffffff,862.0,484
86650d36fffffff,6.0,484
86650d377ffffff,3445.0,484
86650d387ffffff,208.0,487
86650d38fffffff,1196.0,487
86650d397ffffff,145.0,499
86650d39fffffff,1.0,499
86650d3a7ffffff,6723.0,487
86650d3afffffff,1453.0,487
86650d3b7ffffff,33.0,487
86650d407ffffff,107465.0,485
86650d40fffffff,131432.0,485
86650d417ffffff,70835.0,485
86650d41fffffff,114465.0,485
86650d427ffffff,6677.0,485
86650d42fffffff,23521.0,485
