No,ID_SPKLU,Nama_SPKLU,Tagging_SPKLU,Jenis_Lokasi,UP3,Kota_Kab,Latitude,Longitude,Jml_Transaksi,Energi_kWh,Pendapatan_Rp
320,1534,SPKLU PLN MASJID BAITUL MUMININ CAMPAKA,Merah (Utilisasi Rendah <10 trx),Publik / Pemerintah / Transportasi,CIANJUR,KAB. CIANJUR,-7.016566,107.138514,7,26.55,69427
321,1537,SPKLU PLN RM SAMOLO,Merah (Utilisasi Rendah <10 trx),F&B / Kafe / Leisure Retail,CIANJUR,KAB. CIANJUR,-6.799374,107.200251,7,21.7,56745
322,953,SPKLU CIANJUR ASRI,Merah (Utilisasi Rendah <10 trx),Perumahan / Township,CIANJUR,KAB. CIANJUR,-6.848277,107.127251,9,20.98,54883
323,249,SPKLU POLDA JABAR,Merah (Utilisasi Rendah <10 trx),Publik / Pemerintah / Transportasi,BANDUNG,KOTA BANDUNG,-6.936338,107.704642,2,8.29,22070
324,223,SPKLU ALUN-ALUN SINDANGBARANG,Merah (Utilisasi Rendah <10 trx),Publik / Pemerintah / Transportasi,CIANJUR,KAB. CIANJUR,-7.451419,107.134878,2,7.87,20598
325,2181,SPKLU PLN Posko Citatah,Merah (Utilisasi Rendah <10 trx),Kantor / Unit Layanan PLN,CIMAHI,KAB. BANDUNG,-6.83452,107.426411,3,4.69,12265
326,2205,SPKLU PLN ULP BALEENDAH,Merah (Utilisasi Rendah <10 trx),Kantor / Unit Layanan PLN,MAJALAYA,KAB. BANDUNG,-7.006223,107.625739,2,4.38,11454
327,2170,SPKLU PLN POSKO CIMALAKA,Merah (Utilisasi Rendah <10 trx),Kantor / Unit Layanan PLN,SUMEDANG,KAB. SUMEDANG,-6.815006,107.959884,8,3.03,7926
328,2189,SPKLU PLN Posko Cugenang,Merah (Utilisasi Rendah <10 trx),Kantor / Unit Layanan PLN,CIANJUR,KAB. CIANJUR,-6.799131,107.0789,3,2.57,6722
329,2186,SPKLU  PLN Posko Cikalong Wetan,Merah (Utilisasi Rendah <10 trx),Kantor / Unit Layanan PLN,CIMAHI,KAB. BANDUNG BARAT,-6.740749,107.440882,2,2.39,6074
330,189,SPKLU PLN ULP PURWAKARTA KOTA,Merah (Utilisasi Rendah <10 trx),Kantor / Unit Layanan PLN,PURWAKARTA,KAB. PURWAKARTA,-6.554661,107.445698,10,0.21,539
331,1734,SPKLU PLN ADVENTURE CAMP CIJERUK,Merah (Utilisasi Rendah <10 trx),Rumah Sakit / Kesehatan,BOGOR,KAB. BOGOR,-6.676014,106.784682,9,0.1,288
